Filesystem,Size,Used,Avail,Use%,Mounted_on
tmpfs,1.6G,1.7M,1.6G,1%,/run
/dev/sda6,9.4G,50M,8.8G,1%,/
/dev/sda8,15G,5.4G,8.0G,41%,/usr
tmpfs,7.6G,19M,7.6G,1%,/dev/shm
tmpfs,5.0M,4.0K,5.0M,1%,/run/lock
tmpfs,4.0M,0,4.0M,0%,/sys/fs/cgroup
/dev/sda9,9.4G,37M,8.8G,1%,/usr/local
/dev/sda11,24G,45M,23G,1%,/opt
/dev/sda10,24G,2.4G,20G,11%,/var
/dev/sda12,9.4G,100M,8.8G,2%,/tmp
/dev/sda1,1.9G,156M,1.7G,9%,/boot
/dev/sda7,281G,1.7G,265G,1%,/home
tmpfs,1.6G,2.1M,1.6G,1%,/run/user/1000
/dev/sdc1,458G,62G,373G,15%,/home/quid/Storage
